[2026-06-16T05:16:31.300Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:31.348Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:31.438Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:31.488Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:31.535Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:31.582Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:31.630Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:31.662Z] check sc=0 len=10854 ZXAN=true
[2026-06-16T05:16:31.687Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:31.742Z] DATA recv len=61 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:31.791Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:31.838Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:31.951Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:31.993Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:32.040Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:32.087Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:32.164Z] check sc=0 len=11208 ZXAN=true
[2026-06-16T05:16:32.181Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:32.228Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:32.274Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:32.320Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:32.368Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:32.416Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:32.463Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:32.521Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:32.574Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:32.622Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:32.670Z] check sc=0 len=11680 ZXAN=true
[2026-06-16T05:16:32.673Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:32.718Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:32.766Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:32.814Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:32.979Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:33.035Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:33.081Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:33.127Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:33.173Z] check sc=0 len=12034 ZXAN=true
[2026-06-16T05:16:33.251Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:33.302Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
